Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:20:58:201,1,9,1,Human,1,0,0,False,False,0,0,37
2,13:20:58:212,1,9,1,Human,1,0,0,False,False,0,0,38
2,13:20:58:224,1,9,1,Human,1,0,0,False,False,0,0,39
2,13:20:58:235,1,9,1,Human,1,0,0,False,False,0,0,40
2,13:20:58:246,1,9,1,Human,1,0,0,False,False,0,0,41
2,13:20:58:257,1,9,1,Human,1,0,0,False,False,0,0,42
2,13:20:58:267,1,9,1,Human,1,0,0,False,False,0,0,43
2,13:20:58:278,1,9,1,Human,1,0,0,False,False,0,0,44
2,13:20:58:290,1,9,1,Human,1,0,0,False,False,0,0,45
2,13:20:58:301,1,9,1,Human,1,0,0,False,False,0,0,46
2,13:20:58:312,1,9,1,Human,1,0,0,False,False,0,0,47
2,13:20:58:323,1,9,1,Human,1,0,0,False,False,0,0,48
2,13:20:58:334,1,9,1,Human,1,0,0,False,False,0,0,49
2,13:20:58:346,1,9,1,Human,1,0,0,False,False,0,0,50
2,13:20:58:356,1,9,1,Human,1,0,0,False,False,0,0,51
2,13:20:58:367,1,9,1,Human,1,0,0,False,False,0,0,52
2,13:20:58:379,1,9,1,Human,1,0,0,False,False,0,0,53
2,13:20:58:390,1,9,1,Human,1,0,0,False,False,0,0,54
2,13:20:58:401,1,9,1,Human,1,0,0,False,False,0,0,55
2,13:20:58:412,1,9,1,Human,1,0,0,False,False,0,0,56
2,13:20:58:423,1,9,1,Human,1,0,0,False,False,0,0,57
2,13:20:58:435,1,9,1,Human,1,0,0,False,False,0,0,58
2,13:20:58:446,1,9,1,Human,1,0,0,False,False,0,0,59
2,13:20:58:458,1,9,1,Human,1,0,0,False,False,0,0,60
2,13:20:58:470,1,9,1,Human,1,0,0,False,False,0,0,61
2,13:20:58:482,1,9,1,Human,1,0,0,False,False,0,0,62
2,13:20:58:493,1,9,1,Human,1,0,0,False,False,0,0,63
2,13:20:58:505,1,9,1,Human,1,0,0,False,False,0,0,64
2,13:20:58:516,1,9,1,Human,1,0,0,False,False,0,0,65
2,13:20:58:528,1,9,1,Human,1,0,0,False,False,0,0,66
2,13:20:58:539,1,9,1,Human,1,0,0,False,False,0,0,67
2,13:20:58:550,1,9,1,Human,1,0,0,False,False,0,0,68
2,13:20:58:561,1,9,1,Human,1,0,0,False,False,0,0,69
2,13:20:58:572,1,9,1,Human,1,0,0,False,False,0,0,70
2,13:20:58:583,1,9,1,Human,1,0,0,False,False,0,0,71
2,13:20:58:594,1,9,1,Human,1,0,0,False,False,0,0,72
2,13:20:58:606,1,9,1,Human,1,0,0,False,False,0,0,73
2,13:20:58:617,1,9,1,Human,1,0,0,False,False,0,0,74
2,13:20:58:628,1,9,1,Human,1,0,0,False,False,0,0,75
2,13:20:58:638,1,9,1,Human,1,0,0,False,False,0,0,76
2,13:20:58:651,1,9,1,Human,1,0,0,False,False,0,0,77
2,13:20:58:661,1,9,1,Human,1,0,0,False,False,0,0,78
2,13:20:58:672,1,9,1,Human,1,0,0,False,False,0,0,79
2,13:20:58:683,1,9,1,Human,1,0,0,False,False,0,0,80
2,13:20:58:694,1,9,1,Human,1,0,0,False,False,0,0,81
2,13:20:58:705,1,9,1,Human,1,0,0,False,False,0,0,82
2,13:20:58:716,1,9,1,Human,1,0,0,False,False,0,0,83
2,13:20:58:727,1,9,1,Human,1,0,0,False,False,0,0,84
2,13:20:58:739,1,9,1,Human,1,0,0,False,False,0,0,85
2,13:20:58:749,1,9,1,Human,1,0,0,False,False,0,0,86
2,13:20:58:761,1,9,1,Human,1,0,0,False,False,0,0,87
2,13:20:58:772,1,9,1,Human,1,0,0,False,False,0,0,88
2,13:20:58:783,1,9,1,Human,1,0,0,False,False,0,0,89
2,13:20:58:794,1,9,1,Human,1,0,0,False,False,0,0,90
2,13:20:58:804,1,9,1,Human,1,0,0,False,False,0,0,91
2,13:20:58:816,1,9,1,Human,1,0,0,False,False,0,0,92
2,13:20:58:826,1,9,1,Human,1,0,0,False,False,0,0,93
2,13:20:58:838,1,9,1,Human,1,0,0,False,False,0,0,94
2,13:20:58:849,1,9,1,Human,1,0,0,False,False,0,0,95
2,13:20:58:860,1,9,1,Human,1,0,0,False,False,0,0,96
2,13:20:58:871,1,9,1,Human,1,0,0,False,False,0,0,97
2,13:20:58:882,1,9,1,Human,1,0,0,False,False,0,0,98
2,13:20:58:894,1,9,1,Human,1,0,0,False,False,0,0,99
2,13:20:58:905,1,9,1,Human,1,0,0,False,False,0,0,100
2,13:20:58:915,1,9,1,Human,1,0,0,False,False,0,0,101
2,13:20:58:926,1,9,1,Human,1,0,0,False,False,0,0,102
2,13:20:58:938,1,9,1,Human,1,0,0,False,False,0,0,103
2,13:20:58:948,1,9,1,Human,1,0,0,False,False,0,0,104
2,13:20:58:960,1,9,1,Human,1,0,0,False,False,0,0,105
2,13:20:58:971,1,9,1,Human,1,0,0,False,False,0,0,106
2,13:20:58:982,1,9,1,Human,1,0,0,False,False,0,0,107
